align,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
0.7,0.725,0.725,0.775
0.7,0.725,0.725,0.6
0.7,0.55,0.55,0.65
0.7,0.625,0.625,0.75
0.7,0.65,0.65,0.725
0.7,0.6,0.6,0.825
0.7,0.675,0.675,0.725
0.7,0.725,0.725,0.5
0.7,0.625,0.625,0.9
0.7,0.725,0.725,0.725
0.775,0.725,0.725,0.775
0.775,0.725,0.725,0.6
0.775,0.55,0.55,0.6
0.775,0.625,0.65,0.75
0.775,0.65,0.65,0.725
0.775,0.6,0.6,0.825
0.775,0.675,0.675,0.725
0.775,0.75,0.75,0.5
0.775,0.65,0.65,0.9
0.775,0.725,0.725,0.75
0.8,0.725,0.725,0.775
0.8,0.725,0.725,0.6
0.8,0.55,0.55,0.6
0.8,0.625,0.65,0.75
0.8,0.65,0.65,0.725
0.8,0.6,0.6,0.825
0.8,0.675,0.675,0.725
0.8,0.75,0.75,0.5
0.8,0.65,0.65,0.9
0.8,0.725,0.725,0.75
0.85,0.725,0.725,0.775
0.85,0.725,0.725,0.6
0.85,0.55,0.55,0.6
0.85,0.625,0.65,0.75
0.85,0.65,0.65,0.725
0.85,0.6,0.6,0.825
0.85,0.675,0.675,0.725
0.85,0.75,0.75,0.5
0.85,0.65,0.65,0.9
0.85,0.725,0.725,0.75
0.9,0.725,0.725,0.775
0.9,0.725,0.725,0.6
0.9,0.55,0.55,0.6
0.9,0.625,0.65,0.75
0.9,0.65,0.65,0.725
0.9,0.6,0.6,0.825
0.9,0.675,0.675,0.725
0.9,0.75,0.75,0.5
0.9,0.65,0.65,0.925
0.9,0.725,0.725,0.75
0.95,0.75,0.75,0.8
0.95,0.725,0.725,0.675
0.95,0.6,0.6,0.7
0.95,0.675,0.7,0.85
0.95,0.675,0.675,0.75
0.95,0.625,0.6,0.825
0.95,0.75,0.75,0.775
0.95,0.75,0.75,0.5
0.95,0.7,0.675,0.95
0.95,0.725,0.725,0.75
1.0,0.925,0.9,0.95
1.0,0.725,0.725,0.75
1.0,0.75,0.725,0.85
1.0,0.875,0.85,0.825
1.0,0.85,0.825,0.8
1.0,0.775,0.75,0.925
1.0,0.95,0.925,1.0
1.0,0.85,0.85,0.725
1.0,0.75,0.725,0.925
1.0,0.8,0.775,0.9
