,wandb_group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,name,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
0,align=0.8,0,"[1, 0, 1, 1]",0.9375,0.9375,0.9,0.8,RESN,,,,,,,,,,,
1,align=0.8,1,"[1, 0, 1, 1]",0.8425,0.8425,0.89,0.8,RESN,,,,,,,,,,,
2,align=0.8,2,"[1, 0, 1, 1]",0.8775,0.88,0.9175,0.8,RESN,,,,,,,,,,,
3,align=0.83,0,"[0, 1, 1, 1]",0.865,0.865,0.8925,0.83,RESN,,,,,,,,,,,
4,align=0.83,1,"[0, 1, 1, 1]",0.9,0.9,0.8975,0.83,RESN,,,,,,,,,,,
5,align=0.83,2,"[0, 1, 1, 1]",0.9275,0.9275,0.9225,0.83,RESN,,,,,,,,,,,
6,align=0.5,0,"[0, 0, 1, 1]",0.7675,0.7675,0.715,0.5,RESN,,,,,,,,,,,
7,align=0.5,1,"[0, 0, 1, 1]",0.71,0.71,0.7175,0.5,RESN,,,,,,,,,,,
8,align=0.5,2,"[0, 0, 1, 1]",0.7425,0.745,0.745,0.5,RESN,,,,,,,,,,,
9,align=0.92,0,"[1, 256, 256, 256]",0.865,0.865,0.895,0.92,RESN,,,,,,,,,,,
10,align=0.92,1,"[1, 256, 256, 256]",0.9,0.9,0.8975,0.92,RESN,,,,,,,,,,,
11,align=0.92,2,"[1, 256, 256, 256]",0.9275,0.9275,0.9225,0.92,RESN,,,,,,,,,,,
12,align=1,0,"[1, 1, 1, 1]",0.9475,0.9475,0.9275,1.0,RESN,,,,,,,,,,,
13,align=1,1,"[1, 1, 1, 1]",0.9125,0.9125,0.9075,1.0,RESN,,,,,,,,,,,
14,align=1,2,"[1, 1, 1, 1]",0.9375,0.9375,0.9375,1.0,RESN,,,,,,,,,,,
15,align=0.925,0,"[256, 1, 256, 256]",0.9375,0.9375,0.9,0.925,RESN,,,,,,,,,,,
16,align=0.925,1,"[256, 1, 256, 256]",0.8475,0.8475,0.89,0.925,RESN,,,,,,,,,,,
17,align=0.925,2,"[256, 1, 256, 256]",0.8775,0.88,0.9175,0.925,RESN,,,,,,,,,,,
