wandb_group,wandb_name,test_clf_acc,test_clf_loss,test_1nn_acc,test_triplet_acc,decision_support
0,0,0.0,0.0,0.0,0.0,0.0
TN_test,align=1.0,-1.0,-1.0,0.9838709677419356,0.6949999928474426,0.3548387096774194
MTLl=0.2,align=1.0,0.8387096524238586,0.8167868852615356,0.9838709677419356,0.6227999925613403,0.3548387096774194
TN_test,align=0.9,-1.0,-1.0,0.9838709677419356,0.6491999626159668,0.3548387096774194
MTLl=0.2,align=0.9,0.774193525314331,0.5253854393959045,0.9516129032258064,0.5825999975204468,0.3225806451612903
TN_test,align=0.8,-1.0,-1.0,0.9838709677419356,0.670699954032898,0.4677419354838709
MTLl=0.2,align=0.8,0.8387096524238586,0.6634882688522339,0.9838709677419356,0.6083999872207642,0.4677419354838709
TN_test,align=0.7,-1.0,-1.0,0.967741935483871,0.6195999979972839,0.064516129032258
MTLl=0.2,align=0.7,0.9677419066429138,0.0699440538883209,1.0,0.6446999907493591,0.0806451612903225
TN_test,align=0.6,-1.0,-1.0,0.9516129032258064,0.6938999891281128,0.7580645161290323
MTLl=0.2,align=0.6,0.6612903475761414,0.7998789548873901,0.967741935483871,0.6631999611854553,0.5967741935483871
TN_test,align=0.5,-1.0,-1.0,0.8387096774193549,0.5622000098228455,0.5
MTLl=0.2,align=0.5,0.9354838728904724,0.1589843332767486,0.8548387096774194,0.569599986076355,0.5806451612903226
MTLl=0.2,align=0.4,0.9838709831237792,0.0263973046094179,1.0,0.8241999745368958,0.0483870967741935
TN_test,align=0.4,-1.0,-1.0,0.967741935483871,0.801099956035614,0.0967741935483871
TN_test,align=0.3,-1.0,-1.0,0.9516129032258064,0.7053999900817871,0.0483870967741935
MTLl=0.2,align=0.3,1.0,0.0267520640045404,1.0,0.7064999938011169,0.0483870967741935
MTL0.5,align=1.0,0.9677419066429138,0.1126078143715858,1.0,0.6581999659538269,0.3548387096774194
MTL0.8,align=1.0,0.4838709533214569,4.5289835929870605,0.967741935483871,0.6952999830245972,0.3709677419354839
MTL0.5,align=0.9,0.9838709831237792,0.0386203601956367,0.9516129032258064,0.673799991607666,0.3064516129032258
MTL0.8,align=0.9,0.9838709831237792,0.0577003844082355,0.9032258064516128,0.6937999725341797,0.3548387096774194
MTL0.5,align=0.8,1.0,0.0251558888703584,1.0,0.7078999876976013,0.4193548387096774
MTL0.8,align=0.8,0.725806474685669,1.1103028059005735,0.967741935483871,0.5882999897003174,0.4032258064516129
MTL0.5,align=0.7,0.9838709831237792,0.0541157722473144,1.0,0.6173999905586243,0.0806451612903225
MTL0.8,align=0.7,0.4838709533214569,6.293247222900391,0.9193548387096774,0.6825999617576599,0.1129032258064516
MTL0.5,align=0.6,0.9032257795333862,0.2937329411506653,0.935483870967742,0.6509999632835388,0.7741935483870968
MTL0.8,align=0.6,0.8870967626571655,0.3061559796333313,0.935483870967742,0.6642999649047852,0.7903225806451613
MTL0.5,align=0.5,0.9354838728904724,0.1941077560186386,0.8064516129032258,0.5586000084877014,0.5645161290322581
MTL0.8,align=0.5,0.5483871102333069,1.9045610427856443,0.8870967741935484,0.5979999899864197,0.532258064516129
MTL0.5,align=0.4,0.9838709831237792,0.0244827885180711,0.9838709677419356,0.6565999984741211,0.0483870967741935
MTL0.8,align=0.4,0.8870967626571655,0.3315294682979584,0.9838709677419356,0.7096999883651733,0.064516129032258
MTL0.5,align=0.3,0.6290322542190552,2.272273540496826,0.967741935483871,0.5694000124931335,0.032258064516129
MTL0.8,align=0.3,0.9677419066429138,0.0663960874080658,1.0,0.6847000122070312,0.032258064516129
TN_test,align=0.3,-1.0,-1.0,0.967741935483871,0.7127999663352966,0.0483870967741935
test,TN,-1.0,-1.0,0.675,0.6474999785423279,0.0
MTLl=0.2,align=0.1,0.8870967626571655,0.199005514383316,0.9193548387096774,0.7057999968528748,0.0483870967741935
MTLl=0.2,align=0,0.7096773982048035,0.7432395219802856,0.9516129032258064,0.50409996509552,0.0806451612903225
test,TN,-1.0,-1.0,0.6,0.643750011920929,0.0
test,TN,-1.0,-1.0,0.85,0.6937499642372131,0.0
TN_cos_nodropout,bs=200,-1.0,-1.0,0.55,0.6825000047683716,0.0
TN_cosdropout,bs=200,-1.0,-1.0,0.625,0.6800000071525574,0.0
