wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_num_triplets,align=0.925_p=0.03125,TN,0,"[256, 1, 256, 256]",512,0,0.995,0.74725,0.74725,0.84,0.84,1.0,0.8725,0.8725,1.0,0.89,0.8875,1.0
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,0,"[256, 1, 256, 256]",512,0,0.995,0.7055,0.7055,0.8575,0.8575,1.0,0.9,0.9,1.0,0.9175,0.9175,1.0
wv_3d_num_triplets,align=0.925_p=0.015625,TN,0,"[256, 1, 256, 256]",512,0,0.995,0.6765,0.6765,0.7625,0.765,1.0,0.8275,0.83,1.0,0.8425,0.8425,1.0
wv_3d_num_triplets,align=0.925_p=0.0625,TN,0,"[256, 1, 256, 256]",512,0,0.9925,0.785,0.785,0.8375,0.8375,1.0,0.86,0.86,1.0,0.865,0.865,1.0
wv_3d_num_triplets,align=0.925_p=0.125,TN,0,"[256, 1, 256, 256]",512,0,0.98,0.8089999999999999,0.8089999999999999,0.8175,0.825,1.0,0.865,0.8625,1.0,0.88,0.88,1.0
wv_3d_num_triplets,align=0.925_p=0.25,TN,0,"[256, 1, 256, 256]",512,0,0.9325,0.85625,0.85625,0.845,0.855,1.0,0.88,0.8975,1.0,0.9,0.9175,1.0
wv_3d_num_triplets,align=0.8_p=0.0078125,TN,0,"[1, 0, 1, 1]",512,0,1.0,0.6655000000000001,0.6655000000000001,0.8675,0.8675,1.0,0.8625,0.8625,1.0,0.8475,0.8475,1.0
wv_3d_num_triplets,align=0.8_p=0.015625,TN,0,"[1, 0, 1, 1]",512,0,0.9825,0.7042499999999999,0.7042499999999999,0.78,0.7825,1.0,0.7675,0.765,1.0,0.76,0.7625,1.0
wv_3d_num_triplets,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0,0.8925,0.8535,0.8535,0.84,0.85,1.0,0.895,0.9075,1.0,0.9075,0.915,1.0
wv_3d_num_triplets,align=0.8_p=0.03125,TN,0,"[1, 0, 1, 1]",512,0,1.0,0.7165,0.7165,0.795,0.795,1.0,0.7925,0.7925,1.0,0.7725,0.7725,1.0
wv_3d_num_triplets,align=0.8_p=0.0625,TN,0,"[1, 0, 1, 1]",512,0,0.99,0.7717500000000002,0.7717500000000002,0.8175,0.815,1.0,0.79,0.7925,1.0,0.7625,0.765,1.0
wv_3d_num_triplets,align=0.8_p=0.125,TN,0,"[1, 0, 1, 1]",512,0,0.98,0.8440000000000001,0.8440000000000001,0.8025,0.805,1.0,0.7675,0.77,1.0,0.7725,0.7725,1.0
wv_3d_num_triplets,align=0.8_p=0.25,TN,0,"[1, 0, 1, 1]",512,0,0.96,0.86,0.86,0.8075,0.81,1.0,0.77,0.775,1.0,0.7825,0.7875,1.0
wv_3d_num_triplets,align=0.8_p=0.5,TN,0,"[1, 0, 1, 1]",512,0,0.885,0.89175,0.89175,0.7125,0.745,1.0,0.7525,0.785,1.0,0.77,0.805,1.0
wv_3d_num_triplets,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0,0.87,0.85075,0.85075,0.8275,0.86,1.0,0.8875,0.9025,1.0,0.9025,0.92,1.0
