align,test_triplet_acc,test_1nn_acc,decision_support
0.0,0.4245999753475189,0.9516129032258064,0.1129032258064516
0.1,0.5189999938011169,1.0,0.0483870967741935
0.2,0.6629999876022339,0.9838709677419356,0.0967741935483871
0.30000000000000004,0.6836999654769897,1.0,0.0483870967741935
0.4,0.8622999787330627,0.9516129032258064,0.0161290322580645
0.5,0.6394999623298645,0.7096774193548387,0.3709677419354839
0.6000000000000001,0.5455999970436096,0.935483870967742,0.6774193548387096
0.7000000000000001,0.6886999607086182,0.9516129032258064,0.1774193548387097
0.8,0.660099983215332,0.967741935483871,0.5967741935483871
0.9,0.8571999669075012,0.967741935483871,0.4193548387096774
1.0,0.4548999965190887,1.0,0.4838709677419355
